n,probability,1/sqrt(ln(n)),ratio
610,0.32901,0.39487,0.833212
611,0.32792,0.394819,0.830557
612,0.3291,0.394769,0.833652
613,0.33068,0.394719,0.837761
614,0.32738,0.394669,0.829506
615,0.32989,0.394619,0.835972
616,0.32918,0.394569,0.834278
617,0.32811,0.394519,0.831671
618,0.33,0.394469,0.836567
619,0.32625,0.39442,0.827165
620,0.32574,0.39437,0.825975
621,0.32792,0.394321,0.831607
622,0.3269,0.394271,0.829124
623,0.32698,0.394222,0.829431
624,0.32728,0.394173,0.830295
625,0.32697,0.394124,0.829612
626,0.32988,0.394075,0.837099
627,0.32881,0.394026,0.834488
628,0.3278,0.393978,0.832027
629,0.32982,0.393929,0.837258
630,0.32765,0.39388,0.831852
631,0.32701,0.393832,0.830329
632,0.32908,0.393784,0.835688
633,0.32901,0.393735,0.835612
634,0.3285,0.393687,0.834419
635,0.32782,0.393639,0.832793
636,0.32723,0.393591,0.831396
637,0.32517,0.393543,0.826263
638,0.32728,0.393495,0.831725
639,0.32642,0.393448,0.82964
640,0.3295,0.3934,0.83757
641,0.3276,0.393353,0.832841
642,0.32616,0.393305,0.82928
643,0.32762,0.393258,0.833092
644,0.32656,0.393211,0.830497
645,0.32286,0.393163,0.821185
646,0.32414,0.393116,0.82454
647,0.3254,0.393069,0.827844
648,0.32622,0.393022,0.830029
649,0.33036,0.392976,0.840663
650,0.32651,0.392929,0.830965
651,0.32633,0.392882,0.830605
652,0.32961,0.392836,0.839053
653,0.32513,0.392789,0.827747
654,0.32835,0.392743,0.836043
655,0.32388,0.392697,0.824759
656,0.32461,0.39265,0.826715
657,0.32808,0.392604,0.83565
658,0.32602,0.392558,0.830501
659,0.32656,0.392512,0.831974
660,0.32972,0.392467,0.840122
661,0.32474,0.392421,0.82753
662,0.32398,0.392375,0.825689
663,0.32582,0.39233,0.830475
664,0.32502,0.392284,0.828532
665,0.32615,0.392239,0.831509
666,0.32529,0.392193,0.829412
