n,probability,1/sqrt(ln(n)),ratio
1324,0.06638,0.372978,0.177973
1325,0.06569,0.372959,0.176132
1326,0.06412,0.372939,0.171932
1327,0.06464,0.37292,0.173335
1328,0.06475,0.3729,0.173639
1329,0.06445,0.37288,0.172844
1330,0.06515,0.372861,0.17473
1331,0.0655,0.372842,0.175678
1332,0.06487,0.372822,0.173997
1333,0.06417,0.372803,0.172129
1334,0.06606,0.372783,0.177208
1335,0.06472,0.372764,0.173622
1336,0.0652,0.372744,0.174919
1337,0.0667,0.372725,0.178952
1338,0.06463,0.372706,0.173408
1339,0.06545,0.372686,0.175617
1340,0.06459,0.372667,0.173318
1341,0.06607,0.372648,0.177299
1342,0.06438,0.372628,0.172773
1343,0.06404,0.372609,0.171869
1344,0.06568,0.37259,0.17628
1345,0.06498,0.372571,0.17441
1346,0.06412,0.372551,0.17211
1347,0.06329,0.372532,0.169891
1348,0.06431,0.372513,0.172638
1349,0.06634,0.372494,0.178097
1350,0.06563,0.372475,0.1762
1351,0.06531,0.372456,0.17535
1352,0.06432,0.372437,0.172701
1353,0.06524,0.372417,0.17518
1354,0.06439,0.372398,0.172906
1355,0.06444,0.372379,0.173049
1356,0.06463,0.37236,0.173568
1357,0.06486,0.372341,0.174195
1358,0.06482,0.372322,0.174097
1359,0.06454,0.372303,0.173353
1360,0.06512,0.372284,0.17492
1361,0.06525,0.372265,0.175278
1362,0.06331,0.372246,0.170076
1363,0.06422,0.372227,0.172529
1364,0.06288,0.372208,0.168938
1365,0.06455,0.37219,0.173433
1366,0.06479,0.372171,0.174087
1367,0.06491,0.372152,0.174418
1368,0.06518,0.372133,0.175152
1369,0.06636,0.372114,0.178332
1370,0.06449,0.372095,0.173316
1371,0.06526,0.372077,0.175394
1372,0.06503,0.372058,0.174785
1373,0.06357,0.372039,0.170869
1374,0.06424,0.37202,0.172679
1375,0.06471,0.372002,0.173951
1376,0.06319,0.371983,0.169873
1377,0.06596,0.371964,0.177329
1378,0.06554,0.371945,0.176209
1379,0.06391,0.371927,0.171835
1380,0.06505,0.371908,0.174909
1381,0.06466,0.37189,0.173869
1382,0.06435,0.371871,0.173044
1383,0.06555,0.371852,0.17628
1384,0.06361,0.371834,0.171071
1385,0.06438,0.371815,0.173151
1386,0.06451,0.371797,0.173509
1387,0.06483,0.371778,0.174378
1388,0.06463,0.37176,0.173849
1389,0.0639,0.371741,0.171894
1390,0.06432,0.371723,0.173032
1391,0.06533,0.371704,0.175758
1392,0.06454,0.371686,0.173641
1393,0.0649,0.371667,0.174619
1394,0.06418,0.371649,0.17269
1395,0.06453,0.37163,0.17364
1396,0.06471,0.371612,0.174133
1397,0.0641,0.371594,0.1725
1398,0.06376,0.371575,0.171594
1399,0.06259,0.371557,0.168453
1400,0.06395,0.371539,0.172122
1401,0.064,0.37152,0.172265
1402,0.06441,0.371502,0.173377
1403,0.06454,0.371484,0.173736
1404,0.06373,0.371465,0.171564
1405,0.06362,0.371447,0.171276
1406,0.06373,0.371429,0.171581
1407,0.06524,0.371411,0.175655
1408,0.06489,0.371393,0.174721
1409,0.06422,0.371374,0.172925
1410,0.06374,0.371356,0.171641
1411,0.06437,0.371338,0.173346
1412,0.06364,0.37132,0.171389
1413,0.06307,0.371302,0.169862
1414,0.06531,0.371284,0.175903
1415,0.06427,0.371266,0.173111
1416,0.0649,0.371248,0.174816
1417,0.06434,0.371229,0.173316
1418,0.06483,0.371211,0.174644
1419,0.06413,0.371193,0.172767
